text,label
using the device accelerometer sensor it implements a simple pedometer that is used to measure movements of the victim.,1
when the malware is first started on the device it will begin by hiding its icon from the application drawer.,1
then it will ask for the accessibility service privilege as visible in the following screenshot:,1
"after the user grants the requested privilege, cerberus starts to abuse it by granting itself additional permissions, such as permissions needed to send messages and make calls, without requiring any user interaction.",1
it also disables play protect (google’s preinstalled antivirus solution) to prevent its discovery and deletion in the future.,1
"after conveniently granting itself additional privileges and securing its persistence on the device, cerberus registers the infected device in the botnet and waits for commands from the c2 server while also being ready to perform overlay attacks.",1
push shows a push notification.,1
clicking on thenotification will result in launching a specified app,1
getinstallapps gets the list of installedapplications on the infected device,1
getcontacts gets the contact names and phone numbers from the addressbook on the infected device,1
deleteapplication triggers the deletion of the specified application,1
forwardcall enables call forwarding to the specified number,1
sendsms sends a text message with specified text from the infecteddevice to the specified phone number,1
startinject triggers the overlay attack against the specified application,1
startussd calls the specified ussd code,1
openurl opens the specified url in the webview,1
getsms gets all text messages from the infected device,1
killme triggers the kill switch for the bot,1
updatemodule updates the payload module,1
"cerberus malware has the same capabilities as most other android banking trojans such as the use of overlay attacks, sms control and contact list harvesting.",1
the trojan can also leverage keylogging to broaden the attack scope.,1
overlaying: dynamic (local injects obtained from c2),1
keylogging,1
sms harvesting: sms listing,1
sms harvesting: sms forwarding,1
device info collection,1
contact list collection,1
application listing,1
location collection,1
overlaying: targets list update,1
sms: sending,1
calls: ussd request making,1
calls: call forwarding,1
remote actions: app installing,1
remote actions: app starting,1
remote actions: app removal,1
remote actions: showing arbitrary web pages,1
remote actions: screen-locking,1
notifications: push notifications,1
c2 resilience: auxiliary c2 list,1
self-protection: hiding the app icon,1
self-protection: preventing removal,1
self-protection: emulation-detection,1
"most android banking trojans use overlay attacks to trick the victim into providing their personal information (such as but not limited to: credit card information, banking credentials, mail credentials) and cerberus is no exception.",1
"in this particular case, the bot abuses the accessibility service privilege to obtain the package name of the foreground application and determine whether or not to show a phishing overlay window, as shown in the following code snippet:",1
ursnif leverages cerberus to automate fraudulent bank transfers in italy,1
"aside from the ursnif infection on the victim’s desktop, the malware tricks victims into fetching a mobile app from a fake google play page and infects their mobile device with the cerberus android malware.",1
the cerberus malware component of the attack is used by ursnif’s operators to receive two-factor authentication codes sent by banks to their users when account updates and money transfer transactions are being confirmed in real-time.,1
cerberus also possesses other features and can enable the attacker to obtain the lock-screen code and remotely control the device.,1
"it has evolved over time to eventually feature the ability to hijack sms content and control devices remotely, alongside other sophisticated data theft features.",1
"if users scan the qr code, they will open a web page on their smartphone and be sent to a fake google play page featuring a corresponding banking app logo of the banking brand the victim originally attempted to access.",1
"if the victims submit their phone number on the web injection, the remote server will send back a download url for them to unknowingly download the cerberus malware.",1
cerberus is being used here only as the component that allows the attackers to bypass the bank’s sms-code verification challenge.,1
"add_info send data to c2: token, sms content, telephone, download an application.",1
ask send communication to the c2.,1
get_drop check account balance on the victim’s bank account.,1
good_trf attempt to initiate a money transfer transaction.,1
login send victim’s login information to attacker’s c2 server.,1
ping check if the infected machine is currently online.,1
"since it hooks the internet browser, it takes different steps to manipulate what victims see on their screens and have them click on elements that launch the trojan’s resources into action.",1
"it, therefore, attempts to replace a login button from the original bank’s webpage and plant its own button that the victim will click.",1
"after receiving the data from the victim, the malware sends data to the c2 server, including authorization token, sms content, telephone number and account login information.",1
"to prevent victims from accessing the account and discovering the fraudulent activity before it is finalized, ursnif presents a maintenance notice on the account.",1
"in-depth analysis of the infrastructure has already unearthed the malware’s ability to covertly send and steal sms codes, to open tailored overlays for various online banks, and to steal 2fa-codes including from google authenticator.",1
"additional capabilities include accessing customer credit card and contact details, the ability to redirect calls or tamper with mobile functionality via its rat features, and to automatically grant required permissions as part of its authentication attributes.",1
"like any remote access trojan worth its salt, cerberus is capable of deep surveillance within your device, interfering with the encrypted communications the phone has with its apps, and outside.",1
"basically, cerberus can intercept and steal your phone’s unlock pattern or pin, as well as google authenticator numbers, and any sms necessary to perform a two-step verification.",1
"likewise, this malware can interpose itself between you and your bank’s app through an overlay, the most common method for carrying out a phishing attack.",1
"in short, cerberus can enter your computer, extract all the necessary data to perform a bank fraud, and wait for the best moment to take the money from your account.",1
"this service, which normally assists users with disabilities in certain applications, is abused by cerberus to give itself more permissions without user interaction.",1
"having control of the accessibility services, the malware proceeds to ensure its persistence in different ways, either by disabling play protect or by removing itself from the applications in use.",1
"on the other hand, cerberus is capable of generating an instance of teamviewer on mobile, and through the aforementioned accessibility permissions, authorizing said session while the equipment is in use, all without user interaction.",1
a keylogger,1
"listing, retrieval, sending and forwarding of sms",1
forwarding or transferring calls,1
installation and deletion of apps,1
locking and unlocking the screen (without user interaction),1
collection of device data,1
list of device applications,1
device file collection and extraction,1
phishing attacks via preloaded overlays,1
"various protection capabilities, such as emulation detection",1
