text,label
['not all samples of dualtoy are capable of infecting android devices connected with the infected infected device via usb devices.'],1
"as an example, in the two images below, we can see the encrypted and decrypted shared preferences file, which is encrypted using the java ""pbewithmd5anddes"" algorithm.",0
"our logs show a number of simultaneous red alert 2.0 campaigns in operation, many (but not all) hosted on dynamic dns domains.",0
"during the investigation, this app was able to successfully connect to the command and control server, but it received no commands.",0
Omg no! where am I to download stuffs from nao?,0
"['"" as is usual with other malware, cerberus presented itself as a genuine app in order to disrupt the banking systems of unsuspecting customers, "" ondrej novak, with commentary, explained in a tuesday editorial.']",1
"['once it has been fully downloaded onto a computer, mazarbot has the capability to open, monitor and control buttons on the recipient ’ s android device ; send it through to premium channel numbers, which will increase the recipient ’ s mobile phone bill ; read sms messages, with two - step verification codes ; use the "" polipo proxy "" to launch man - in - the - middle ( mitm ) games ; and inject itself in the mobile to play browser.']",1
": Wish I had known sooner so that you could come with, honey!",0
"['then, it creates a layover over the user personal facebook screen, and steals their twitter account.']",1
"experts pointed out that the latest release of the rat implements new features, including a bypass to the facebook authentication mechanism.",1
"['on some devices, there is a powerful spyware that can do many actions, such as fake conversations, download private files, exfiltrate computers, and much many more.']",1
"on top of that, the attackers were after e-wallet and e-commerce credentials.",0
"once an application has been identified, anubis overlays the original application with a fake login page to capture the user’s credentials.",1
accessibility services were originally developed by google to help users with disabilities.,0
xloader android spyware and banking trojan distributed via dns spoofing,1
Dr Who convention in Belfast in May? and will be attending,0
"ok, thank you! ill wait haha",0
"what we discovered was a serious mobile spyware operation that has since been reportedly used to target mexican activists, according to the new york times.",0
Old age and treachery.,0
['ginp mal was eventually discovered in 2019 and acts as an sms threat.'],1
['its creators changed the app ’ s virtual surface to the bare surface by removing all potentially malicious functionalities but still : its accessibility information.'],1
is delaying the inevitable of working on a sunday,0
"['"" stop _ read "" - allows displaying all blocking of pages ;']",1
didnt stretch before and after my oztag game. now im hurting,0
i heart my new forever21 bag,0
information about all actions performed by rotexy is logged in the local database and sent to the c&c.,0
dammm .u shouldnt tell ppl the endings of movies. i was gonna watch that lawls.,0
the most potent banking malware receives updates allowing hackers more control over infected devices,0
"first, rotexy checks to see what device it has landed on.",1
"it can harvest contacts, send messages, steal credentials.",1
write_sms,1
thanks im hoping it all settles soon too.,0
['animated screenshots ;'],1
all the pretty horses,0
"on the basis of their stated purpose, they will either be licensed-sanjeevi says there are currently 230 licensed users-or granted a refund.",0
starting content observers and the main task loop to receive remote commands and exfiltrate data,1
['free - download that file from c & c and use it.'],1
"recently, the threatlabz research team came across a fake netflix app, which turned out to be a new variant of spynote rat (remote access trojan).",0
pudge was the only one to give me his photo lol mourning lost animal crossing residents.,0
going to look for curtains.,0
"['once executed, the malware has the capabilities to steal victims and bank - related accounts and bypass security mechanisms, including multi - factor nat ( nat ).']",1
"['the malware is designed to manipulate private data, including call recordings, text messages, photos, videos, and location such as public ’ knowledge.']",1
"once installed, the app begins requesting for invasive permissions to perform a string of malicious activities that are designed to slip past any attempts to manually remove the malware.",1
"['when before it had utilized multiple separate streaming media platforms, it now uses the same platform, something he has done in its past attacks.']",1
['this was used to bypass 2fa methods by intercepting the sms text received from the phone and stealing the mtans from the recipient ′ s knowledge.'],1
"on the back of a surge in trojan activity, we decided to carry out an in-depth analysis and track the evolution of some other popular malware families besides asacub.",0
"another example of fakespy’s anti-emulation techniques is how it uses the getmachine function, which uses the telephonymanager class to check for the deviceid, phone number, imei, and imsi.",1
['and when the trojan detects an attempts to block the trojan block then it starts taking off the user id screen.'],1
"such overlays are designed around specific apps, and cerberus has developed more than 30 of these thus far.",0
Yes and it wont be long before you are playing easter bunny too! Its so much fun Em. Have you been well?,0
"send aes-encrypted sms message back to sender - sms starting with ""sms://""",1
"according to google, whom we have contacted to alert about our discoveries, nearly 25 variants of this spyware were uploaded on google play store.",0
"there""s something thus far which is conspicuous only by its absence: is any of this encrypted?",0
"the analysis of the apk was rather interesting, because some of the actions were very common spyware features, such as the exfiltration of sms messages, call logs and other data.",1
"['in some countries, users may utilize this technology to track incoming messages without the assistance of the user by activating the lockdown screen and intercepting voice messages in the background.']",1
no but I did have my parrot hat,0
its name is androidos/mallocker.b.,0
under active development,0
"['send an immediate text message - "" 8 ""']",1
"['currently, mallocker. b utilizes android ’ s phone services to provide a call notification that provides the ransom note full text.']",1
